Site,TMRCA,low,high
25.0,1.275867,1.096321,1.6231576799999996
75.0,1.275867,1.096321,1.6231576799999996
125.0,1.275867,1.057144,1.6231576799999996
175.0,1.275867,1.057144,1.2580194799999995
225.0,1.275867,1.057144,1.2580194799999995
275.0,1.275867,1.057144,1.2580194799999995
325.0,1.275867,1.009538,1.2580194799999995
375.0,1.275867,1.009538,1.2580194799999995
425.0,1.275867,1.009538,1.2580194799999995
475.0,1.275867,1.009538,2.2475622800000004
525.0,1.275867,1.009538,1.2580194799999995
575.0,1.275867,1.009538,2.2475622800000004
625.0,1.275867,1.009538,2.2475622800000004
675.0,1.275867,1.009538,2.2475622800000004
725.0,1.275867,1.009538,2.2475622800000004
775.0,1.275867,1.009538,2.2475622800000004
825.0,1.275867,0.951686,2.2475622800000004
875.0,1.275867,0.951686,2.2475622800000004
925.0,1.275867,0.951686,2.2475622800000004
975.0,1.275867,0.951686,2.2475622800000004
1025.0,1.275867,0.8813840000000002,2.2475622800000004
1075.0,1.275867,0.8813840000000002,2.2475622800000004
1125.0,1.275867,0.8813840000000002,2.2475622800000004
1175.0,1.275867,0.8813840000000002,2.2475622800000004
1225.0,1.275867,0.8813840000000002,2.2475622800000004
1275.0,1.275867,0.8813840000000002,2.2475622800000004
1325.0,1.275867,0.951686,2.2475622800000004
1375.0,1.275867,0.951686,1.2580194799999995
1425.0,1.275867,0.951686,1.2580194799999995
1475.0,1.275867,0.951686,1.2580194799999995
1525.0,1.275867,0.951686,1.2580194799999995
1575.0,1.275867,0.951686,1.2580194799999995
1625.0,1.275867,0.951686,1.2580194799999995
1675.0,1.275867,0.951686,1.2580194799999995
1725.0,1.275867,0.951686,1.2580194799999995
1775.0,1.275867,0.951686,1.2580194799999995
1825.0,1.275867,0.951686,1.2580194799999995
1875.0,1.275867,1.009538,1.2580194799999995
1925.0,1.275867,1.009538,1.2580194799999995
1975.0,1.275867,1.009538,1.2580194799999995
2025.0,1.275867,1.009538,1.2580194799999995
2075.0,1.275867,1.009538,1.2580194799999995
2125.0,1.275867,1.009538,1.2580194799999995
2175.0,1.275867,1.009538,1.2580194799999995
2225.0,1.275867,1.009538,1.2580194799999995
2275.0,1.275867,1.009538,1.2580194799999995
2325.0,1.275867,1.009538,1.2580194799999995
2375.0,1.275867,1.009538,1.2580194799999995
2425.0,1.275867,1.009538,2.2475622800000004
2475.0,1.275867,1.009538,2.2475622800000004
2525.0,1.275867,1.009538,2.2475622800000004
2575.0,1.55097,1.284641,1.9724592800000003
2625.0,1.55097,1.284641,1.9724592800000003
2675.0,1.55097,1.284641,1.9724592800000003
2725.0,1.55097,1.284641,1.9724592800000003
2775.0,1.55097,1.284641,1.52874468
2825.0,1.55097,1.284641,1.52874468
2875.0,1.55097,1.156487,1.52874468
2925.0,1.55097,1.071057,1.52874468
2975.0,1.55097,1.071057,1.52874468
3025.0,1.55097,1.071057,1.52874468
3075.0,1.55097,1.071057,1.52874468
3125.0,1.55097,1.071057,1.52874468
3175.0,1.55097,1.071057,1.52874468
3225.0,1.55097,1.071057,1.52874468
3275.0,1.55097,1.071057,1.52874468
3325.0,1.55097,1.071057,1.52874468
3375.0,1.55097,1.071057,1.52874468
3425.0,1.55097,1.071057,1.52874468
3475.0,1.55097,1.071057,1.52874468
3525.0,1.55097,1.071057,2.56314
3575.0,1.55097,1.071057,2.56314
3625.0,1.55097,1.071057,2.56314
3675.0,1.55097,1.071057,1.52874468
3725.0,1.55097,1.071057,1.52874468
3775.0,1.55097,1.071057,1.52874468
3825.0,1.55097,1.071057,1.52874468
3875.0,1.55097,1.071057,1.52874468
3925.0,1.55097,1.071057,1.52874468
3975.0,1.55097,1.071057,1.52874468
4025.0,1.55097,1.071057,1.52874468
4075.0,1.55097,1.071057,1.52874468
4125.0,1.55097,1.071057,1.52874468
4175.0,1.55097,0.967243,1.52874468
4225.0,1.55097,0.967243,1.52874468
4275.0,1.55097,0.967243,1.52874468
4325.0,1.55097,0.967243,1.52874468
4375.0,1.55097,0.967243,1.52874468
4425.0,1.55097,0.967243,1.52874468
4475.0,1.55097,0.967243,1.52874468
4525.0,1.55097,0.967243,1.52874468
4575.0,1.55097,0.967243,1.52874468
4625.0,1.55097,0.967243,1.52874468
4675.0,1.55097,0.967243,1.52874468
4725.0,1.55097,0.967243,1.52874468
4775.0,1.55097,0.967243,1.52874468
4825.0,1.55097,0.967243,1.52874468
4875.0,1.55097,0.967243,1.52874468
4925.0,1.55097,0.967243,1.52874468
4975.0,1.55097,0.967243,1.52874468
5025.0,1.55097,0.967243,1.52874468
5075.0,1.55097,1.071057,1.52874468
5125.0,1.55097,1.071057,1.52874468
5175.0,1.55097,1.071057,1.52874468
5225.0,1.55097,1.071057,1.52874468
5275.0,1.55097,1.071057,1.52874468
5325.0,1.55097,1.071057,1.52874468
5375.0,1.55097,1.071057,1.52874468
5425.0,1.55097,1.071057,1.52874468
5475.0,1.55097,1.071057,1.52874468
5525.0,1.55097,1.071057,1.52874468
5575.0,1.55097,1.071057,1.52874468
5625.0,1.55097,1.071057,1.52874468
5675.0,1.55097,1.071057,1.52874468
5725.0,1.55097,1.071057,1.52874468
5775.0,1.55097,1.071057,1.52874468
